"Грэм Б.: Разумный инвестор: Полное руководство по стоимостному инвестированию","10300","100","1"," Деловая литература"," Альпина Паблишер"," 12+","2017"," Русский"
"Кох Р.: Жить по принципу 80/20: практическое руководство","6950","0","0"," Психология популярная"," Бомбора"," 16+"," 2020"," Русский"
"Дубынин В. А.: Мозг и его потребности: От питания до признания","5250","0","0"," Научно-популярная литература"," Альпина Паблишер"," 16+"," 2020"," Русский"
"Митчелл М.: Унесенные ветром. Т. 1. Лучшая мировая классика","4175","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2020"," Русский"
"Сайед М.: От лучшего к величайшему: Как работают принципы успеха в спорте для достижения жизненных целей","4130","0","0"," Психология популярная"," Азбука-Бизнес"," 18+"," 2021"," Русский"
"Мустафина А.: Как уехать в Дубай и остаться там. Невымышленные истории иностранки в ОАЭ","3250","0","0"," Публицистика",," 18+"," 2021"," Русский"
"Ферранте Э.: Неаполитанский квартет (комплект из 4-х кн.)","2550","0","0"," Современная мировая проза"," Синдбад"," 16+"," 2020"," Русский"
"Самые первые раскраски. 3+","3520","0","0"," Раскраски"," Робинс"," 0+"," 2021"," Русский"
"Комаровский Е. О.: Начало жизни вашего ребенка. Обновленное и дополненное издание","6750","100","3"," Книги для родителей"," Эксмо"," 12+"," 2020"," Русский"
"Пейн Б.: Легкий способ выучить Java","2230","0","0"," Компьютер"," Бомбора"," 12+"," 2019"," Русский"
"Уэст К. Э.: Кошмар наяву (#2)","3950","0","0"," Young adult"," Эксмо"," 16+"," 2019"," Русский"
"Мопассан Г. де: Милый друг. Эксклюзивная классика","2660","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2016"," Русский"
"Толкин Дж. Р. Р.: Властелин колец (пер. Каррик, Каменкович)","1230","0","0"," фантастика"," АСТ"," 12+"," 2016"," Русский"
"Животные (Разв. карточки 0+)","2590","0","0"," Развивающая литература Картон"," Росмэн"," 0+"," 2020"," Русский"
"Есенберлин І.: Мұхиттан өткен қайық","5850","0","0"," Казахская Классика"," Книжный клуб"," 16+"," 2021"," Казахский"
"Эриксон Т.: Кругом одни идиоты. Если вам так кажется, возможно, вам не кажется","3250","0","0"," Психология популярная"," Эксмо"," 16+"," 2020"," Русский"
"Спаркс Н.: Дневник памяти. Спаркс: чудо любви","1250","0","0"," Сентиментальный роман"," АСТ"," 16+"," 2016"," Русский"
"Кинг С.: Чужак","6150","0","0"," Остросюжетная литература"," Neoclassic"," 16+"," 2021"," Русский"
"Брандис К.: Дети моря. Душа акулы (#1)","3990","0","0"," Детская литература"," Эксмо"," 12+"," 2021"," Русский"
"Хейг М.: Полночная библиотека","8530","0","0"," Современная мировая проза"," Livebook"," 16+"," 2021"," Русский"
"Мировая кухня. 500 рецептов. Шаг за шагом","2000","0","1"," Кулинария"," Колибри"," 12+"," 2018"," Русский"
"Дойл А. К.: Его прощальный поклон. Архив Шерлока Холмса","4350","0","0"," Остросюжетная литература"," АСТ"," 16+"," 2021"," Русский"
"Валентино С.: Круэлла де Виль. История злодейки с разбитым сердцем","1850","0","0"," Детская литература"," Эксмо"," 12+"," 2021"," Русский"
"Акимбеков С.: Казахи между революцией и голодом","2750","0","0"," История Казахстана и Центральной Азии"," Институт Азиатских исследований"," 16+"," 2021"," Русский"
"Мақатаев М.: Шығармалар  жинағы","5990","0","0"," Казахская Классика",," 14+"," 2021"," Казахский"
